Country,Region,TOEFL requirement
United States,North America,Exempt
Australia,Oceania,Exempt
China,Asia,Required
India,Asia,Required
Singapore,Asia,Exempt
Finland,Europe,Required
United Kingdom,Europe,Exempt
Canada,North America,Exempt
Switzerland,Europe,Required
Belgium,Europe,Required
South Korea,Asia,Required
Qatar,Asia,Required
Austria,Europe,Required
Argentina,South America,Required
France,Europe,Required
Israel,Asia,Required
New Zealand,Oceania,Exempt
Netherlands,Europe,Required
Italy,Europe,Required
Japan,Asia,Required
Germany,Europe,Required
Brazil,South America,Required
Iran,Asia,Required
Bangladesh,Asia,Required
Hong Kong,Asia,Required
Sri Lanka,Asia,Required
Thailand,Asia,Required
Russian Federation,Europe,Required
Sweden,Europe,Required
Greece,Europe,Required
Spain,Europe,Required
Turkey,Asia,Required
Taiwan,Asia,Required
British Indian Ocean Territory,Asia,Required
Saudi Arabia,Asia,Required
Ascension Island,AI,Required
The Netherlands,Europe,Required
Vietnam,Asia,Required
United Arab Emirates,Asia,Required
Ireland,Europe,Exempt
Slovakia,Europe,Required
South Africa,Africa,Required
Romania,Europe,Required
Lebanon,Asia,Required
Norway,Europe,Required
Algeria,Africa,Required
Mexico,North America,Required
Serbia,Europe,Required
Poland,Europe,Required
Croatia,Europe,Required
Colombia,South America,Required
Macao,Asia,Required
Pakistan,Asia,Required
Egypt,Africa,Required
European Union,Europe,Required
Bulgaria,Europe,Required
Ukraine,Europe,Required
Lithuania,Europe,Required
Czechia,Europe,Required
Portugal,Europe,Required
Sudan,Africa,Required
Peru,South America,Required
Denmark,Europe,Required
Guatemala,North America,Required
Malaysia,Asia,Required
Hungary,Europe,Required
Cameroon,Africa,Required
Uruguay,South America,Required
Morocco,Africa,Required
Chile,South America,Required
Bosnia and Herzegovina,Europe,Required
Jordan,Asia,Required
Rwanda,Africa,Required
Tunisia,Africa,Required
Albania,Europe,Required
Luxembourg,Europe,Required
Armenia,Asia,Required
Iceland,Europe,Required
Indonesia,Asia,Required
Russia,Europe,Required
Paraguay,South America,Required
Ethiopia,Africa,Required
Estonia,Europe,Required
Kuwait,Asia,Required
Oman,Asia,Required
Madagascar,Africa,Required
Kazakhstan,Asia,Required
Nepal,Asia,Required
Philippines,Asia,Required
Georgia,Asia,Required
Slovenia,Europe,Required
Kosovo,Europe,Required
Ghana,Africa,Required
Latvia,Europe,Required
Belarus,Europe,Required
Nigeria,Africa,Required
Uganda,Africa,Required
Cyprus,Asia,Required
Montenegro,Europe,Required
Cape Verde,Africa,Required
Syrian Arab Republic,Asia,Required
Venezuela,South America,Required
Yemen,Asia,Required
North Macedonia,Europe,Required
Cuba,North America,Required
Costa Rica,North America,Required
Cocos (Keeling) Islands,Asia,Required
